`mesh_concept_uid`,`mesh_term_id`
M0000412,1570
M0000412,1571
M0000413,1572
M0000413,1573
M0000413,1574
M0000413,1575
M0000413,1576
M0000413,1577
M0000413,1578
M0000413,1579
M0000413,1580
M0000413,1581
M0000413,1582
M0000413,1583
M0000414,1584
M0000414,1585
M0000414,1586
M0000415,1587
M0000415,1588
M0000415,1589
M0000415,1590
M0000415,1591
M0000415,1592
M0000415,1593
M0000416,1594
M0000416,1595
M0000416,1596
M0000416,1597
M0000416,1598
M0000416,1599
M0000416,1600
M0000416,1601
M0000416,1602
M0000416,1603
M0000416,1604
M0000416,1605
M0000416,1606
M0000416,1607
M0000416,1608
M0000416,1609
M0000417,1610
M0000417,1611
M0000417,1612
M0000417,1613
M0000417,1614
M0000419,1615
M0000419,1616
M0000420,1617
M0000420,1618
M0000421,1619
M0000421,1620
M0000422,1621
M0000422,1622
M0000423,1623
M0000423,1624
M0000423,1625
M0000423,1626
M0000423,1627
M0000424,1628
M0000424,1629
M0000425,1630
M0000425,1631
M0000425,1632
M0000425,1633
M0000426,1634
M0000426,1635
M0000426,1636
M0000426,1637
M0000426,1638
M0000426,1639
M0000427,1640
M0000427,1641
M0000427,1642
M0000427,1643
M0000427,1644
M0000427,1645
M0000427,1646
M0000427,1647
M0000428,1648
M0000428,1649
M0000428,1650
M0000428,1651
M0000429,1652
M0000429,1653
M0000429,1654
M0000429,1655
M0000430,1656
M0000430,1657
M0000430,1658
M0000430,1659
M0000430,1660
M0000430,1661
M0000431,1662
M0000431,1663
M0000431,1664
M0000431,1665
M0000431,1666
M0000431,1667
M0456740,1668
M0000431,1669
M0000431,1670
M0000431,1671
M0000431,1672
M0000431,1673
M0000431,1674
M0000432,1675
M0000432,1676
M0000432,1677
M0000432,1678
M0000432,1679
M0000432,1680
M0000432,1681
M0000432,1682
M0000433,1683
M0000433,1684
M0000433,1685
M0000433,1686
M0000433,1687
M0000433,1688
M0000433,1689
M0000433,1690
M0000433,1691
M0000433,1692
M0000434,1693
M0000434,1694
M0000434,1695
M0000434,1696
M0000434,1697
M0000434,1698
M0000434,1699
M0000434,1700
M0000434,1701
M0000434,1702
M0000434,1703
M0000434,1704
M0000434,1705
M0000434,1706
M0000434,1707
M0000434,1708
M0000434,1709
M0000434,1710
M0000434,1711
M0000434,1712
M0000434,1713
M0000434,1714
M0000434,1715
M0000434,1716
M0000434,1717
