`mesh_concept_uid`,`mesh_semantic_type_uid`
M0000965,T121
M0000966,T116
M0000966,T126
M0000967,T109
M0000968,T109
M0000968,T121
M0000969,T109
M0000969,T121
M0000970,T109
M0000970,T121
M0000971,T109
M0000971,T121
M0000972,T116
M0000972,T126
M0000973,T109
M0000973,T121
M0000975,T109
M0000975,T121
M0000976,T109
M0000976,T121
M0000977,T109
M0000977,T121
M0000978,T109
M0000978,T121
M0000980,T109
M0000980,T131
M0000981,T123
M0000981,T197
M0000982,T116
M0000982,T126
M0000983,T121
M0000983,T197
M0000984,T197
M0000985,T104
M0000986,T130
M0000986,T197
M0000987,T061
M0000988,T061
M0000989,T048
M0000990,T041
M0000990,T048
M0000991,T060
M0000992,T018
M0000994,T047
M0000995,T047
M0000996,T047
M0000997,T019
M0000998,T047
M0000999,T031
M0001000,T109
M0001000,T121
M0001001,T109
M0001001,T121
M0001003,T109
M0001003,T121
M0001004,T109
M0001004,T121
M0001005,T109
M0001005,T121
M0001006,T109
M0001006,T121
M0001007,T009
M0001007,T204
M0001008,T109
M0001008,T121
M0001009,T109
M0001009,T195
M0001010,T109
M0001010,T195
M0001011,T116
M0001011,T126
M0001012,T109
M0001012,T121
M0001013,T109
M0001013,T121
M0001015,T109
M0001016,T011
M0001017,T123
M0001017,T131
M0001018,T123
M0001018,T131
M0001019,T123
M0001019,T131
M0001020,T130
M0001021,T109
M0001021,T195
M0001022,T118
M0001022,T195
M0001023,T109
M0001023,T195
M0001024,T109
M0001024,T195
M0001025,T109
M0001025,T195
M0001026,T109
M0001026,T195
M0001027,T109
M0001027,T195
M0001029,T032
M0001030,T073
M0001031,T109
M0001031,T121
M0001032,T109
M0001032,T121
M0001033,T061
M0001034,T020
M0001035,T037
M0001036,T101
M0001037,T109
M0001037,T121
M0001037,T130
M0001038,T109
M0001038,T121
M0001039,T109
M0001039,T121
M0001040,T109
M0001040,T121
M0001041,T109
M0001041,T121
M0001042,T109
M0001042,T121
M0001043,T118
M0001043,T121
M0001044,T023
M0001045,T109
M0001045,T121
M0001046,T116
M0001046,T126
M0001047,T116
M0001047,T123
M0001048,T116
M0001048,T123
M0001051,T116
M0001051,T123
M0001052,T116
M0001052,T129
M0001053,T047
M0001054,T118
M0001054,T123
M0001055,T118
M0001056,T047
M0001057,T047
M0001058,T109
M0001058,T131
M0001060,T040
M0001061,T191
M0001062,T023
M0001063,T121
M0001064,T121
M0001065,T061
M0001066,T047
M0001067,T121
M0001068,T121
M0001069,T103
M0001069,T121
M0001071,T066
M0001072,T081
M0001073,T079
M0001074,T116
M0001074,T123
M0001074,T131
M0001075,T116
M0001075,T123
M0001075,T131
M0001076,T047
M0001077,T191
M0001078,T006
M0001078,T007
M0001079,T006
M0001079,T007
M0001081,T047
M0001082,T047
M0001083,T047
M0001084,T061
M0001085,T061
M0001086,T091
M0001087,T091
M0001087,T170
M0001088,T091
M0001089,T090
M0001090,T091
M0001091,T058
M0001092,T116
M0001092,T121
M0001092,T126
M0001093,T116
M0001093,T121
M0001093,T126
M0001094,T116
M0001094,T121
M0001094,T126
M0001095,T009
M0001095,T204
M0001096,T009
M0001096,T204
M0001097,T009
M0001097,T204
M0001098,T009
M0001098,T204
M0001099,T009
M0001099,T204
M0001100,T009
M0001100,T204
M0001101,T047
M0001102,T083
M0001103,T121
M0001104,T116
M0001104,T123
M0001106,T121
M0001106,T125
M0001107,T121
M0001107,T125
M0001108,T110
M0001109,T110
M0001110,T110
M0001111,T110
M0001112,T110
M0001113,T110
M0001113,T125
M0001114,T110
M0001115,T110
M0001116,T110
M0001116,T125
M0001117,T110
M0001117,T125
M0001118,T170
M0001119,T047
M0001120,T047
M0001121,T047
M0001122,T047
M0001123,T047
M0001124,T047
M0001125,T047
M0001126,T047
M0001126,T184
M0001127,T047
M0001128,T047
M0001129,T047
M0001130,T047
M0001131,T047
M0001132,T047
M0001133,T047
M0001134,T047
M0001135,T047
M0001136,T047
M0001137,T047
M0001138,T047
