`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
D27.505.519.625.663,D000068796,582
D27.505.696.277.350.500.500,D000068796,583
D27.505.696.577.663,D000068796,584
D27.505.954.427.210.350.500.500,D000068796,585
D12.644.400.360,D000068797,586
D12.776.631.650.363,D000068797,587
B01.650.940.800.575.912.250.456.500.389,D000068798,588
D02.886.778.600,D000068799,589
D03.383.606.800,D000068799,590
D03.383.903.600,D000068799,591
D12.644.541.500.697.624,D000068800,592
D12.776.124.486.485.538.500.624,D000068800,593
D12.776.124.486.485.680.697.624,D000068800,594
D12.776.124.790.651.538.500.624,D000068800,595
D12.776.124.790.651.680.660.624,D000068800,596
D12.776.377.715.548.538.500.624,D000068800,597
D12.776.377.715.548.680.660.624,D000068800,598
D12.776.543.750.705.852.760.232,D000068800,599
D02.241.223.100.133.500,D000068801,600
D02.455.426.559.389.127.133.500,D000068801,601
D02.455.426.559.847.638.090.500,D000068801,602
D04.615.638.090.500,D000068801,603
D26.310.032,D000068801,604
D02.455.426.559.847.638.090,D000068816,605
D04.615.638.090,D000068816,606
D12.644.276.374.410.240.150.500,D000068817,607
D12.776.395.240.150.750,D000068817,608
D12.776.467.374.410.240.150.500,D000068817,609
D23.529.374.410.240.150.750,D000068817,610
D12.776.124.486.485.114.224.060.750,D000068818,611
D12.776.124.790.651.114.224.060.750,D000068818,612
D12.776.377.715.548.114.224.200.750,D000068818,613
B01.650.940.800.575.912.250.583.520.330,D000068819,614
D02.241.081.251.583.899,D000068836,615
B01.300.107.685,D000068837,616
B01.300.340.458,D000068837,617
D03.383.129.617.850.500,D000068838,618
D03.383.725.203.065.750,D000068838,619
D12.125.070.950.550.500,D000068838,620
D12.125.142.930.500.500,D000068838,621
D26.310.094,D000068838,622
B01.650.940.800.575.912.250.773.374,D000068856,623
D20.215.894.899.498.500,D000068857,624
D20.215.784.844.500,D000068858,625
G07.203.100.831.500,D000068858,626
G07.203.200.625,D000068858,627
J02.200.831.500,D000068858,628
J02.350.625,D000068858,629
D02.033.100.700.350,D000068876,630
D02.033.455.706.431,D000068876,631
D02.092.063.700.350,D000068876,632
D02.065.277.456,D000068877,633
D02.241.223.100.100.435,D000068877,634
D02.455.426.559.389.127.085.465,D000068877,635
D03.383.606.405,D000068877,636
D03.383.742.349,D000068877,637
D12.776.124.486.485.114.224.060.875,D000068878,638
D12.776.124.790.651.114.224.060.875,D000068878,639
D12.776.377.715.548.114.224.200.875,D000068878,640
D12.776.124.486.485.114.224.060.250,D000068879,641
D12.776.124.790.651.114.224.060.250,D000068879,642
